x, y, z
0.258618, -0.098662, -0.014933
0.258889, -0.097948, -0.014543
0.259158, -0.097234, -0.014154
0.259426, -0.096519, -0.013766
0.259691, -0.095803, -0.013380
0.260216, -0.094368, -0.012612
0.260734, -0.092927, -0.011854
0.261244, -0.091482, -0.011104
0.261748, -0.090032, -0.010362
0.262243, -0.088577, -0.009628
0.262732, -0.087118, -0.008903
0.263213, -0.085654, -0.008186
0.263686, -0.084185, -0.007479
0.264152, -0.082711, -0.006781
0.264611, -0.081232, -0.006092
0.265062, -0.079749, -0.005413
0.265505, -0.078260, -0.004743
0.265941, -0.076767, -0.004083
0.266368, -0.075271, -0.003425
0.266787, -0.073770, -0.002778
0.267199, -0.072264, -0.002143
0.267604, -0.070753, -0.001520
0.268000, -0.069236, -0.000910
0.268389, -0.067713, -0.000315
0.268770, -0.066185, 0.000266
0.269143, -0.064651, 0.000832
0.269508, -0.063112, 0.001384
0.269865, -0.061567, 0.001921
0.270214, -0.060016, 0.002444
0.270555, -0.058460, 0.002950
0.270888, -0.056897, 0.003440
0.271213, -0.055328, 0.003911
0.271529, -0.053753, 0.004363
0.271838, -0.052170, 0.004793
0.272138, -0.050581, 0.005205
0.272430, -0.048986, 0.005597
0.272713, -0.047385, 0.005974
0.272987, -0.045779, 0.006336
0.273252, -0.044168, 0.006683
0.273509, -0.042550, 0.007011
0.273757, -0.040924, 0.007312
0.273996, -0.039289, 0.007578
0.274228, -0.037641, 0.007801
0.274451, -0.035979, 0.007972
0.274665, -0.034303, 0.008092
0.274871, -0.032613, 0.008160
0.275068, -0.030908, 0.008172
0.275256, -0.029186, 0.008120
0.275435, -0.027444, 0.007990
0.275605, -0.025678, 0.007772
0.275687, -0.024782, 0.007610
0.275767, -0.023872, 0.007394
0.275846, -0.022943, 0.007101
0.275925, -0.021983, 0.006683
0.275987, -0.021186, 0.006236
0.276018, -0.020781, 0.005983
0.276049, -0.020361, 0.005674
0.276065, -0.020137, 0.005461
0.276074, -0.020014, 0.005313
0.276079, -0.019946, 0.005211
0.276086, -0.019859, 0.005032
0.276089, -0.019805, 0.004643
0.276088, -0.019820, 0.004530
0.276085, -0.019864, 0.004359
0.276077, -0.019971, 0.004100
0.276059, -0.020218, 0.003714
0.276040, -0.020487, 0.003416
0.275996, -0.021067, 0.002988
0.275937, -0.021827, 0.002598
0.275875, -0.022596, 0.002241
0.275810, -0.023372, 0.001917
0.275743, -0.024157, 0.001628
0.275599, -0.025743, 0.001117
0.275446, -0.027336, 0.000640
0.275282, -0.028936, 0.000190
0.275109, -0.030540, -0.000234
0.274926, -0.032149, -0.000638
0.274732, -0.033760, -0.001024
0.274529, -0.035375, -0.001396
0.274316, -0.036990, -0.001756
0.274093, -0.038607, -0.002108
0.273861, -0.040224, -0.002453
0.273618, -0.041840, -0.002795
0.273367, -0.043455, -0.003136
0.273105, -0.045068, -0.003478
0.272834, -0.046680, -0.003821
0.272554, -0.048290, -0.004164
0.272264, -0.049898, -0.004508
0.271965, -0.051504, -0.004851
0.271656, -0.053109, -0.005195
0.271338, -0.054711, -0.005538
0.271010, -0.056312, -0.005881
0.270673, -0.057911, -0.006224
0.270326, -0.059508, -0.006567
0.269970, -0.061103, -0.006910
0.269605, -0.062696, -0.007253
0.269230, -0.064286, -0.007596
0.268846, -0.065874, -0.007939
0.268452, -0.067460, -0.008282
0.268050, -0.069044, -0.008625
0.267637, -0.070625, -0.008968
0.267216, -0.072204, -0.009311
0.266785, -0.073780, -0.009654
0.266345, -0.075354, -0.009997
0.265895, -0.076925, -0.010340
0.265436, -0.078493, -0.010683
0.264968, -0.080059, -0.011027
0.264491, -0.081621, -0.011370
0.264005, -0.083181, -0.011713
0.263512, -0.084728, -0.012101
0.263008, -0.086280, -0.012452
0.262495, -0.087829, -0.012802
0.261973, -0.089376, -0.013153
0.261441, -0.090919, -0.013504
0.260900, -0.092459, -0.013854
0.260351, -0.093996, -0.014205
0.259792, -0.095529, -0.014555
0.259509, -0.096295, -0.014731
0.259224, -0.097059, -0.014906
0.258937, -0.097823, -0.015081
0.258647, -0.098586, -0.015257
